PT-AU;Nº ciclo;Part Number;Nº Serie;Geometría;Material;Nº capas;Sección;Punto;Zona;FV;Espesor nominal;Espesor curado;OF
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P13;Alma;NO;2,304;2,53;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P14;Alma;NO;2,304;2,49;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P15;Alma;NO;2,304;2,48;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P16;Alma;NO;2,304;2,45;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P17;Alma;SI;2,367;2,64;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P18;Alma;SI;2,367;2,56;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P19;Alma;SI;2,367;2,56;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P20;Alma;SI;2,367;2,5;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P21;Alma;SI;2,367;2,5;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P22;Alma;SI;2,367;2,5;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P23;Alma;SI;2,367;2,52;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P24;Alma;SI;2,367;2,5;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P25;Alma;SI;2,367;2,62;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P26;Alma;SI;2,367;2,52;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P27;Alma;SI;2,367;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P28;Alma;SI;2,367;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P29;Alma;SI;2,367;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P30;Alma;SI;2,367;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P31;Alma;SI;2,367;2,5;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;16,0;;P32;Alma;SI;2,367;2,44;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P1;Alma;NO;3,456;3,7;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P2;Alma;NO;3,456;3,74;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P3;Alma;NO;3,456;3,8;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P4;Alma;NO;3,456;3,8;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P5;Alma;NO;3,456;3,81;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P6;Alma;NO;3,456;3,79;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P7;Alma;NO;3,456;3,79;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P8;Alma;NO;3,456;3,8;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P9;Alma;NO;3,456;3,8;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P10;Alma;NO;3,456;3,65;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P11;Alma;NO;3,456;3,71;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P12;Alma;NO;3,456;3,73;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P13;Alma;NO;3,456;3,62;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P14;Alma;NO;3,456;3,67;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P15;Alma;NO;3,456;3,72;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P16;Alma;NO;3,456;3,79;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P17;Alma;SI;3,519;3,88;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P18;Alma;SI;3,519;3,89;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P19;Alma;SI;3,519;3,89;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P20;Alma;SI;3,519;3,9;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P21;Alma;SI;3,519;3,88;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P22;Alma;SI;3,519;3,88;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P23;Alma;SI;3,519;3,72;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P24;Alma;SI;3,519;3,5;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P25;Alma;SI;3,519;3,76;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P26;Alma;SI;3,519;3,87;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P27;Alma;SI;3,519;3,87;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P28;Alma;SI;3,519;3,87;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P29;Alma;SI;3,519;3,87;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P30;Alma;SI;3,519;3,67;
PT-AU88;AU1-11193;ACTR-01900-000;1;Plana;UD Tape;24,0;;P31;Alma;SI;3,519;3,69;
